City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,iqaluit,63.7506,-68.5145,2.85,86,75,1.54,CA,1749334998
130,kerman,30.2832,57.0788,21.92,33,40,3.09,IR,1749335051
131,leshan,29.5623,103.7639,22.57,68,100,0.78,CN,1749335052
132,alofi,-19.0595,-169.9187,25.94,89,100,2.57,NU,1749335053
133,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,100,4.0,RU,1749335054
134,sitka,57.0531,-135.33,12.94,71,100,4.12,US,1749335055
135,holualoa,19.6228,-155.9522,24.75,83,61,3.37,US,1749335057
136,kharkhorin,47.1975,102.8238,11.76,69,20,1.8,MN,1749335058
137,port mathurin,-19.6833,63.4167,23.85,61,99,9.31,MU,1749335059
138,saint-georges,12.0564,-61.7485,27.48,78,89,5.35,GD,1749335060
139,kodiak,57.79,-152.4072,6.73,93,100,5.14,US,1749335061
140,papatowai,-46.5619,169.4708,6.85,81,100,3.49,NZ,1749335062
141,reggane,26.7158,0.1714,36.23,11,33,5.31,DZ,1749335064
142,nemuro,43.3236,145.575,11.19,94,79,2.49,JP,1749335065
143,longyearbyen,78.2186,15.6401,0.91,80,75,2.06,SJ,1749334789
144,bethel,41.3712,-73.414,21.36,90,100,3.09,US,1749334795
145,parintins,-2.6283,-56.7358,27.5,78,99,1.51,BR,1749335014
146,imbituba,-28.24,-48.6703,18.99,89,93,1.96,BR,1749335070
147,cabo san lucas,22.8909,-109.9124,35.17,26,0,6.17,MX,1749334803
148,sault ste. marie,46.5168,-84.3333,20.9,34,0,4.12,CA,1749334870
149,newport,51.5877,-2.9984,10.86,84,12,3.84,GB,1749335073
150,andergrove,-21.0833,149.1833,18.59,92,3,1.48,AU,1749335074
151,tarauaca,-8.1614,-70.7656,26.85,76,74,0.96,BR,1749335076
152,enewetak,11.3474,162.3373,27.59,76,36,3.48,MH,1749335077
153,ponta delgada,37.7333,-25.6667,18.44,72,20,2.57,PT,1749335078
154,smithers,54.7804,-127.1743,22.18,33,40,2.06,CA,1749335079
155,nova sintra,14.8667,-24.7167,24.21,79,0,9.67,CV,1749335080
156,ribeira grande,38.5167,-28.7,20.22,77,40,6.17,PT,1749335081
157,praia da vitoria,38.7333,-27.0667,19.14,88,75,1.43,PT,1749335083
158,ganghwa-gun,37.7472,126.4856,20.96,91,100,0.66,KR,1749335084
159,mikhaylovsk,45.1283,42.0256,16.12,59,0,3.0,RU,1749335086
160,pamandzi,-12.7967,45.2794,23.88,88,0,1.03,YT,1749335087
161,aripuana,-9.1667,-60.6333,26.98,59,93,0.92,BR,1749335060
162,ola,59.5833,151.2833,7.31,85,100,5.94,RU,1749335089
163,macapa,0.0389,-51.0664,25.99,94,75,0.51,BR,1749334928
164,puerto colombia,10.9878,-74.9547,29.05,76,100,7.59,CO,1749334956
165,magadan,59.5667,150.8,6.51,89,100,5.85,RU,1749335093
166,ancud,-41.8697,-73.8203,10.43,84,100,2.2,CL,1749335094
167,nieuw amsterdam,5.8833,-55.0833,25.01,88,40,0.0,SR,1749335095
168,east london,-33.0153,27.9116,17.96,45,97,1.9,ZA,1749335096
169,port lincoln,-34.7333,135.8667,11.26,68,87,10.64,AU,1749335097
170,mejit,10.2753,170.8646,27.71,76,66,4.87,MH,1749335098
171,kayes,14.0,-11.0,37.5,22,47,1.1,ML,1749335099
172,parkano,62.0167,23.0167,10.01,86,100,4.95,FI,1749335101
173,labinsk,44.6342,40.7356,15.72,71,1,3.83,RU,1749335102
174,porkhov,57.765,29.5561,15.14,75,89,2.74,RU,1749335104
175,powell river,49.8496,-124.5361,23.15,53,0,3.09,CA,1749334843
176,zittau,50.9,14.8333,15.3,87,52,2.24,DE,1749335107
177,bontang,0.1333,117.5,25.06,90,96,3.06,ID,1749335108
178,douglas,41.3,-96.167,26.84,53,75,4.12,US,1749335063
179,dera nanak,32.0373,75.0279,32.59,29,0,2.32,IN,1749335110
180,saint-philippe,-21.3585,55.7679,21.67,74,48,4.68,RE,1749335112
181,alvorada,-12.48,-49.1247,26.9,29,58,2.43,BR,1749335004
182,trinidad,-14.8333,-64.9,28.99,74,75,0.0,BO,1749335114
183,jardin america,-27.0435,-55.227,16.48,87,32,1.25,AR,1749335115
184,howrah,22.5892,88.3103,30.0,84,40,1.54,IN,1749335117
185,nadym,65.5333,72.5167,11.17,66,83,5.11,RU,1749335118
186,manokwari,-0.8667,134.0833,26.2,77,100,1.5,ID,1749335119
187,porto torres,40.835,8.3972,21.1,87,0,0.17,IT,1749335120
188,huaidian,33.4333,115.0333,24.43,76,70,2.36,CN,1749335122
189,karbala,32.616,44.0249,32.12,13,0,3.22,IQ,1749335123
190,machico,32.7,-16.7667,21.11,79,40,6.69,PT,1749335124
191,dudinka,69.4058,86.1778,4.02,92,100,2.04,RU,1749335126
192,kilimatinde,-5.85,34.95,17.31,75,14,1.32,TZ,1749334827
193,corinto,37.9407,22.9573,22.72,66,0,0.53,GR,1749335128
194,tofol,5.3248,163.0078,27.58,77,31,3.98,FM,1749335129
195,kifri,34.6959,44.9661,30.23,18,0,3.39,IQ,1749335130
196,isangel,-19.55,169.2667,24.06,73,40,0.0,VU,1749335131
197,cidade velha,14.9167,-23.6167,23.26,78,20,7.2,CV,1749335132
198,nouadhibou,20.931,-17.0347,20.99,73,4,7.2,MR,1749335135
199,tiksi,71.6872,128.8694,0.42,81,99,2.63,RU,1749334999
200,santa ana,33.7456,-117.8678,26.06,59,20,4.63,US,1749335138
201,colonia,50.9333,6.95,13.4,92,20,2.57,DE,1749334946
202,hithadhoo,-0.6,73.0833,28.83,74,93,4.7,MV,1749335141
203,ta`u,-14.2336,-169.5144,27.69,72,31,2.16,AS,1749335142
204,tazovsky,67.4667,78.7,3.06,77,33,1.24,RU,1749335143
205,salinas victoria,25.95,-100.2833,35.62,43,0,5.66,MX,1749335126
206,fortuna,40.5982,-124.1573,17.77,77,20,6.17,US,1749335057
207,matoury,4.8483,-52.3317,24.98,94,75,1.54,GF,1749335147
208,hammerfest,70.6634,23.6821,9.25,87,0,1.03,NO,1749335148
209,saipan,15.1355,145.701,28.69,79,40,7.72,MP,1749335149
210,lebu,-37.6167,-73.65,12.71,83,100,1.28,CL,1749335150
211,keflavik,64.0049,-22.5624,7.24,70,20,3.09,IS,1749335152
212,sant lluis,39.8526,4.2594,22.22,88,0,2.06,ES,1749335153
213,phalaborwa,-23.943,31.1411,17.45,48,0,1.18,ZA,1749335154
214,yuzhno-kurilsk,44.0306,145.8556,13.23,89,96,0.81,RU,1749335155
215,whitehorse,60.7161,-135.0538,14.43,44,75,11.83,CA,1749334877
216,itatinga,-23.1017,-48.6158,17.43,91,7,0.75,BR,1749335157
217,el charco,2.4769,-78.1105,29.01,83,77,3.02,CO,1749335158
218,jackson,42.4165,-122.8345,36.51,27,0,3.09,US,1749334981
219,colonia del sacramento,-34.4667,-57.85,13.07,71,0,2.06,UY,1749335161
220,salalah,17.0151,54.0924,28.05,83,75,2.06,OM,1749335162
221,uchiza,-8.4592,-76.4633,27.68,66,55,0.44,PE,1749335163
222,reyes,-14.3167,-67.3833,26.78,69,100,0.56,BO,1749335165
223,visakhapatnam,17.69,83.2093,26.94,78,75,1.03,IN,1749335166
224,bukene,-4.2333,32.8833,22.64,46,95,2.57,TZ,1749335167
225,anchorage,61.2181,-149.9003,9.76,87,100,4.12,US,1749335168
226,mamuju,-2.6748,118.8885,24.62,84,95,1.44,ID,1749335169
227,bude,50.8243,-4.5413,13.46,74,10,3.58,GB,1749335170
228,belmonte,-15.8631,-38.8828,23.28,82,92,2.68,BR,1749335172
229,uturoa,-16.7333,-151.4333,27.67,71,100,8.33,PF,1749335173
230,lusambo,-4.9667,23.45,22.81,58,40,0.62,CD,1749335176
231,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,5.14,EC,1749335178
232,qusmuryn,52.4503,64.6311,13.24,70,44,6.59,KZ,1749335179
233,qamdo,31.1667,97.2333,5.56,80,100,1.49,CN,1749335180
234,masterton,-40.9597,175.6575,7.37,62,43,3.71,NZ,1749335078
235,ketchikan,55.3422,-131.6461,15.26,55,100,5.14,US,1749335061
236,jijel,36.8205,5.7667,20.97,94,0,1.03,DZ,1749335185
237,solleftea,63.1667,17.2667,9.92,92,100,3.73,SE,1749335186
238,nioro du rip,13.75,-15.8,28.85,54,4,7.07,SN,1749335188
239,kasongo-lunda,-6.4667,16.8167,24.05,58,70,0.78,CD,1749335189
240,tazacorte,28.629,-17.9293,20.54,95,100,4.12,ES,1749335191
241,qarqaraly,49.4058,75.4742,16.19,61,28,3.97,KZ,1749335192
242,tolanaro,-25.0319,46.9987,22.04,83,20,9.77,MG,1749335194
243,newman,37.3138,-121.0208,24.36,56,0,3.17,US,1749335195
244,tralee,52.2704,-9.7026,9.57,79,2,2.64,IE,1749335196
245,weno,7.4515,151.8468,28.97,79,75,2.57,FM,1749335197
246,pisco,-13.7,-76.2167,20.03,73,0,5.14,PE,1749335198
247,santyoku,37.4406,129.1708,21.86,78,100,1.71,KR,1749335199
248,cromwell,41.5951,-72.6454,20.26,91,100,5.14,US,1749335200
249,tabou,4.423,-7.3528,25.57,87,81,3.3,CI,1749335202
250,puerto ayora,-0.7393,-90.3518,24.75,94,37,1.79,EC,1749335154
251,arno,60.1167,18.6333,10.82,77,88,2.84,SE,1749335204
252,kamaishi,39.2667,141.8833,20.02,65,100,0.94,JP,1749335205
253,iskateley,67.6803,53.1512,13.32,97,97,2.72,RU,1749335206
254,callao,-12.0667,-77.15,20.95,72,100,5.14,PE,1749335128
255,port augusta,-32.5,137.7667,9.3,70,64,4.24,AU,1749335208
256,clarksville,36.5298,-87.3595,25.26,77,75,2.57,US,1749335085
257,garden city,42.3256,-83.331,26.14,38,75,3.6,US,1749335100
258,susanville,40.4163,-120.653,33.91,19,0,3.6,US,1749335212
259,taungoo,18.9333,96.4333,24.47,97,100,1.42,MM,1749335213
260,boda,4.3189,17.4695,21.72,85,19,1.01,CF,1749335214
261,morococha,-11.5997,-76.1411,6.0,50,76,2.22,PE,1749335217
262,nuuk,64.1835,-51.7216,4.34,75,100,1.54,GL,1749335218
263,khanty-mansiysk,61.0042,69.0019,14.06,51,0,3.0,RU,1749335219
264,san rafael,-34.6177,-68.3301,13.8,42,8,4.68,AR,1749335096
265,gurupi,-11.7292,-49.0686,26.36,33,64,1.29,BR,1749335221
266,selfoss,63.9331,-20.9971,9.47,62,35,4.07,IS,1749335222
267,kirakira,-10.4544,161.9205,26.86,73,100,2.45,SB,1749335224
268,kupang,-10.1667,123.5833,25.32,88,20,3.09,ID,1749335225
